order,id,repo_style_id,designer,style_en,style_cn,token,trigger_phrase,active_lora_run,lora_ready,lora_weight_path,lora_weight_url,research_notes_cn,medium,strokes,vibe,caption_short,master_prompt,negative_prompt
1,dior,dior,Christian Dior,Parisian Couture,巴黎高定轮廓,paris_new_look,Masterpiece Parisian haute couture fashion illustration.,paris-new-look-dior-pinterest-batch2,True,training-runs/paris-new-look-dior-pinterest-batch2/pytorch_lora_weights.safetensors,https://raw.githubusercontent.com/zry19950621-star/fashionmarker-ai/main/training-runs/paris-new-look-dior-pinterest-batch2/pytorch_lora_weights.safetensors,致敬 1950 年代 Dior 御用插画大师 Rene Gruau。强调沙龙里的从容优雅、New Look 式沙漏轮廓，以及水彩半透明的轻柔纸面感。,"highly expressive, delicate graphite pencil construction lines with a translucent, soft watercolor wash","sweeping elegant curves, poised line control, polished vintage archival sketching","1950s salon poise, refined couture restraint, elegant and effortless","paris_new_look, Parisian haute couture fashion illustration, delicate graphite construction lines, translucent watercolor wash, poised New Look hourglass silhouette, polished 1950s atelier paper sketch","Masterpiece Parisian haute couture fashion illustration. Medium: highly expressive, delicate graphite pencil construction lines with a translucent, soft watercolor wash. Focus on poised hourglass silhouette, sweeping elegant curves, and polished vintage archival sketching techniques. Authentic 1950s atelier drawing style, elegant and effortless on a clean paper ground.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery"
2,balenciaga,balenciaga,Cristobal Balenciaga,Sculptural Elegance,建构优雅,architectural_volume,Masterpiece sculptural atelier fashion illustration.,architectural-volume-balenciaga-batch2,True,training-runs/architectural-volume-balenciaga-batch2/pytorch_lora_weights.safetensors,https://raw.githubusercontent.com/zry19950621-star/fashionmarker-ai/main/training-runs/architectural-volume-balenciaga-batch2/pytorch_lora_weights.safetensors,Balenciaga 被称为“时装界的建筑师”。重点不是装饰，而是内部结构、空间控制、茧型和布袋裙等雕塑化体量关系。,"cool, precise graphite contour lines with restrained, flat gouache wash","measured contours, structural tailoring cues, bold negative space control","cerebral, sculptural, disciplined, quiet atelier precision","architectural_volume, sculptural atelier fashion illustration, precise graphite contour lines, restrained gouache wash, cocoon and sack-dress volume, clean negative space, disciplined croquis","Masterpiece sculptural atelier fashion illustration. Medium: cool, precise graphite contour lines with restrained, flat gouache wash. Focus on architectural volume, minimalist structural tailoring cues, clean bold negative space, and disciplined fashion croquis techniques. Cerebral and structured.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery"
3,schiaparelli,schiaparelli,Schiaparelli,Surreal Ornament,超现实华饰,surreal_gold,Masterpiece surreal ornament fashion illustration.,surreal-gold-schiaparelli-batch3-fast,True,training-runs/surreal-gold-schiaparelli-batch3-fast/pytorch_lora_weights.safetensors,https://raw.githubusercontent.com/zry19950621-star/fashionmarker-ai/main/training-runs/surreal-gold-schiaparelli-batch3-fast/pytorch_lora_weights.safetensors,Elsa Schiaparelli 与达利合作的超现实语汇非常关键。强调黑色墨线与金属金箔、错视画装饰、戏剧化配件和怪诞张力。,"sharp, aggressive black India ink outlines clashing with luminous metallic gold leaf accents","eccentric drafting gestures, trompe l'oeil detailing, sharp decorative contrast","avant-garde couture energy, poetic surreal tension, bold and dramatic","surreal_gold, surreal ornament fashion illustration, aggressive black India ink, metallic gold accents, trompe l'oeil couture detail, eccentric avant-garde page drama","Masterpiece surreal ornament fashion illustration. Medium: sharp, aggressive black India ink outlines clashing with striking, luminous metallic gold leaf accents. Eccentric drafting gestures, trompe l'oeil details, poetic surreal tension, avant-garde couture energy, bold and dramatic.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery"
4,lagerfeld,chanel,Karl Lagerfeld,Modern Croquis,现代速写气场,modern_croquis,Masterpiece modern croquis fashion illustration.,modern-croquis-karl-pinterest-batch4,True,training-runs/modern-croquis-karl-pinterest-batch4/pytorch_lora_weights.safetensors,https://raw.githubusercontent.com/zry19950621-star/fashionmarker-ai/main/training-runs/modern-croquis-karl-pinterest-batch4/pytorch_lora_weights.safetensors,强调老佛爷后台速写的即时性：粗黑马克笔、眼影盘般的粉彩晕染、白色修正液高光，以及未完成却极有节奏的编辑感。,"rapid, thick black marker strokes, pastel smudges, and dynamic white correction-fluid highlights","fast croquis sweeps, abrupt marker accents, live-fitting spontaneity","backstage editorial energy, messy confidence, spontaneous and chic","modern_croquis, modern croquis fashion illustration, thick black marker strokes, pastel smudges, Tipp-Ex highlights, fast backstage editorial sketch, unfinished chic energy","Masterpiece modern croquis fashion illustration. Medium: rapid, thick black marker strokes, pastel smudges, and dynamic white correction-fluid (Tipp-Ex) highlights. Fast backstage editorial energy, high contrast, intentional messy unfinished sketch feel, spontaneous and chic.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery"
5,mugler,mugler,Thierry Mugler,Futurist Glamour,未来戏剧感,insect_power,Masterpiece futurist glamour fashion illustration.,insect-power-second-batch-mugler-v2,True,training-runs/insect-power-second-batch-mugler-v2/pytorch_lora_weights.safetensors,https://raw.githubusercontent.com/zry19950621-star/fashionmarker-ai/main/training-runs/insect-power-second-batch-mugler-v2/pytorch_lora_weights.safetensors,Mugler 草图带有昆虫、机械体和超夸张沙漏形的未来身体观。重点是黑白反差、反光乳胶与金属质感、舞台级张力。,"knife-sharp fineliner contour lines, high-contrast flat marker shading, glossy reflective highlights","engineered linework, hyper-exaggerated hourglass structure, cyborg and insectoid motifs","runway-scale drama, futuristic seduction, hard-edged theatrical glamour","insect_power, futurist glamour fashion illustration, knife-sharp fineliner contours, high-contrast marker shading, glossy latex-metal highlights, exaggerated hourglass, cyborg insectoid tension","Masterpiece futurist glamour fashion illustration. Medium: knife-sharp fineliner contour lines, high-contrast flat marker shading, glossy reflective highlights. Hyper-exaggerated hourglass proportions, engineered structural detail, dramatic runway-scale tension, cyborg and insectoid motifs.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery"
6,galliano,galliano,John Galliano,Baroque Narrative,华丽叙事,baroque_narrative,Masterpiece baroque narrative fashion illustration.,baroque-narrative-galliano-pinterest-batch4,True,training-runs/baroque-narrative-galliano-pinterest-batch4/pytorch_lora_weights.safetensors,https://raw.githubusercontent.com/zry19950621-star/fashionmarker-ai/main/training-runs/baroque-narrative-galliano-pinterest-batch4/pytorch_lora_weights.safetensors,Galliano 的手稿像一部疯狂的历史小说：旋涡般墨线、水彩泼溅、服装史和面料批注并行，带着失控而华美的戏剧叙事。,"expressive, swirling ink linework with lavish, opulent watercolor layering","historical dressmaking annotations, passionate movement, raw embellished notation","chaotic beauty, dramatic narrative, romantic theatricality, raw and passionate","baroque_narrative, baroque fashion illustration, swirling ink linework, opulent watercolor layering, historical dressmaking annotations, theatrical romantic movement, chaotic editorial beauty","Masterpiece baroque narrative fashion illustration. Medium: expressive, swirling ink linework, lavish and opulent watercolor layering, embellished historical dressmaking annotations, and romantic theatrical movement. Chaotic beauty, dramatic narrative, raw and passionate edge.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery"
7,gaultier,gaultier,Jean Paul Gaultier,Corset Cabaret,紧身华宴,corset_cabaret,Masterpiece corset cabaret fashion illustration.,corset-cabaret-gaultier-batch4,True,training-runs/corset-cabaret-gaultier-batch4/pytorch_lora_weights.safetensors,https://raw.githubusercontent.com/zry19950621-star/fashionmarker-ai/main/training-runs/corset-cabaret-gaultier-batch4/pytorch_lora_weights.safetensors,Jean Paul Gaultier 的画面常把水手、束身胸衣、内衣外穿与纹身式线条混在一起，重点在身体意识和表演性时尚。,precise tattoo-like black contour lines with intricate ballpoint pen corsetry seam notation,"body-conscious contour tracing, cabaret styling cues, fetish-tailoring seam detail","subversive, playful, sensual, decadent editorial tension","corset_cabaret, corset cabaret fashion illustration, tattoo-like black contour, ballpoint corsetry seam notes, body-conscious proportion, performance styling, playful sensual editorial tension","Masterpiece corset cabaret fashion illustration. Medium: precise tattoo-like black contour lines, intricate ballpoint pen corsetry seam notation. Body-conscious proportions, performance styling cues, decadent editorial tension, subversive and playful sensuality.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery"
8,westwood,westwood,Vivienne Westwood,Punk Aristocracy,朋克宫廷,punk_rococo,Masterpiece punk aristocracy fashion illustration.,punk-rococo-westwood-batch4,True,training-runs/punk-rococo-westwood-batch4/pytorch_lora_weights.safetensors,https://raw.githubusercontent.com/zry19950621-star/fashionmarker-ai/main/training-runs/punk-rococo-westwood-batch4/pytorch_lora_weights.safetensors,Vivienne Westwood 的手稿语言来自 DIY 拼贴、无政府主义、英伦古典与破坏性剪裁的碰撞，尤其是格纹、粗糙笔线与历史服装错位。,anarchic biro ballpoint pen and sketchy ink lines with collage-like color blocking,"disrupted historic drape, subverted tailoring, tartan and tweed notation, raw scratched marks","rebellious, DIY, aristocratic mischief, punk editorial attitude","punk_rococo, punk aristocracy fashion illustration, anarchic biro pen scratches, sketchy ink lines, collage color blocking, tartan tailoring notes, rebellious DIY salon mood","Masterpiece punk aristocracy fashion illustration. Medium: anarchic biro ballpoint pen and sketchy ink lines, collage-like color blocking. Disrupted historic drape, subverted tailoring (tartan and tweed notes), rebellious raw editorial attitude, DIY punk aesthetic.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery"
9,maison_margiela,maison_margiela,Maison Margiela,Deconstructed Modern,解构现代,artisanal_deconstruction,Masterpiece deconstructed modern fashion study.,artisanal-deconstruction-margiela-batch1,False,training-runs/artisanal-deconstruction-margiela-batch1/pytorch_lora_weights.safetensors,https://raw.githubusercontent.com/zry19950621-star/fashionmarker-ai/main/training-runs/artisanal-deconstruction-margiela-batch1/pytorch_lora_weights.safetensors,Margiela 的纸面感常是匿名、发白、未完成的：幽灵般铅笔印、被擦掉的结构线、打样记号、假缝线和复印机般的灰度失真。,"extremely faint, ghostly graphite outlines with deliberately erased construction marks and grayscale xerox-like texture","sparse pattern-study notation, basting stitches, nearly vanishing contour residue","quiet radical restraint, anonymous beauty, cerebral artisanal deconstruction","artisanal_deconstruction, deconstructed fashion study, ghostly graphite outlines, erased construction marks, sparse tailor notation, basting stitches, xerox archive texture, quiet cerebral page","Masterpiece deconstructed modern fashion study. Medium: extremely faint, ghostly graphite outlines, deliberately erased construction marks, sparse pattern-study tailor notation and basting stitches, grayscale xerox-like texture. Quiet radical artisanal restraint, anonymous and cerebral beauty.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery"
10,iris_van_herpen,iris_van_herpen,Iris van Herpen,Bionic Motion,仿生流线,bionic_couture,Masterpiece bionic motion fashion illustration.,bionic-couture-iris-batch3,True,training-runs/bionic-couture-iris-batch3/pytorch_lora_weights.safetensors,https://raw.githubusercontent.com/zry19950621-star/fashionmarker-ai/main/training-runs/bionic-couture-iris-batch3/pytorch_lora_weights.safetensors,Iris van Herpen 的手稿更接近 CAD 与参数化结构研究，像神经网格、显微镜下的有机体或 3D 打印前的技术草案。,"meticulous, ultra-fine technical drafting pen lines with complex living wireframe grids","parametric geometry, translucent synthetic layering, kinetic organic contour systems","avant-garde techno-couture, futuristic, precise, almost bio-digital","bionic_couture, bionic fashion illustration, ultra-fine technical drafting lines, living wireframe grids, parametric geometry, translucent synthetic layers, clean blueprint page","Masterpiece bionic motion fashion illustration. Medium: meticulous, ultra-fine technical drafting pen lines, complex living wireframe grids. Kinetic organic movement, 3D parametric geometry, translucent synthetic layers, clean blueprint-like page, avant-garde techno-couture.","runway photo, editorial photo, magazine scan, celebrity likeness, public figure likeness, screenshot, phone UI, watermark, signature, logo, brand label, house name text, designer name text, typography, e-commerce product photo, photorealism, 3D render, CGI, plastic skin, muddy anatomy, extra fingers, duplicate limbs, distorted face, background clutter, cast shadow, props, scenery"
